Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
28,LAC,C.J. Wilcox,University of Washington,3,66,376,132,31,30,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,-5.2,-0.3
29,OKC,Josh Huestis,Stanford University,3,76,1068,187,180,23,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.8,-0.5
30,SAS,Kyle Anderson,"University of California, Los Angeles",5,300,5882,1601,1171,572,0.492,0.324,0.706,19.6,5.3,3.9,1.9,15.5,0.126,2.1,6.1
31,MIL,Damien Inglis,,1,20,156,36,31,10,0.351,0.231,0.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-6.4,-0.2
32,PHI,K.J. McDaniels,Clemson University,3,148,2092,782,324,95,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3,0.03,-3.3,-0.7
33,CLE,Joe Harris,University of Virginia,5,244,5364,2214,658,359,0.474,0.424,0.802,22,9.1,2.7,1.5,9.3,0.083,-0.7,1.7
34,NYK,Cleanthony Early,Wichita State University,2,56,801,241,123,42,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.7,-0.8
35,UTA,Jarnell Stokes,University of Tennessee,3,28,151,67,40,7,0.581,,0.531,5.4,2.4,1.4,0.3,0.6,0.202,1,0.1
36,MIL,Johnny O'Bryant III,Louisiana State University,4,147,1684,509,352,69,0.402,0.36,0.663,11.5,3.5,2.4,0.5,0.2,0.006,-6.4,-1.9
37,TOR,DeAndre Daniels,University of Connecticut,,,,,,,,,,,,,,,,,
38,DET,Spencer Dinwiddie,University of Colorado,5,234,5653,2486,609,1081,0.41,0.331,0.797,24.2,10.6,2.6,4.6,12.6,0.107,-0.5,2.1
39,PHI,Jerami Grant,Syracuse University,5,362,8535,3068,1386,372,0.464,0.324,0.65,23.6,8.5,3.8,1,16.7,0.094,-1.1,1.8
40,MIN,Glenn Robinson III,University of Michigan,5,205,2974,890,431,114,0.435,0.368,0.727,14.5,4.3,2.1,0.6,4.3,0.069,-2.6,-0.5
41,DEN,Nikola Jokic,,4,288,8106,4637,2727,1467,0.522,0.351,0.835,28.1,16.1,9.5,5.1,36.3,0.215,7.5,19.5
42,HOU,Nick Johnson,University of Arizona,1,28,262,74,39,11,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-7.3,-0.3
43,ATL,Walter Tavares,,2,13,101,33,32,4,0.625,,0.273,7.8,2.5,2.5,0.3,0.2,0.118,-0.6,0
44,MIN,Markel Brown,Oklahoma State University,3,113,1794,584,234,132,0.38,0.295,0.781,15.9,5.2,2.1,1.2,1.1,0.029,-2.8,-0.4
45,CHH,Dwight Powell,Stanford University,5,311,5288,2204,1332,258,0.545,0.281,0.744,17,7.1,4.3,0.8,19.5,0.177,1.7,5
46,WAS,Jordan Clarkson,University of Missouri,5,362,9958,5298,1176,980,0.444,0.337,0.811,27.5,14.6,3.2,2.7,10.1,0.048,-1.7,0.7
47,PHI,Russ Smith,University of Louisville,2,27,131,53,15,19,0.319,0.188,0.769,4.9,2,0.6,0.7,-0.2,-0.068,-6.4,-0.1
48,MIL,Lamar Patterson,University of Pittsburgh,2,40,435,93,57,45,0.326,0.236,0.72,10.9,2.3,1.4,1.1,0.1,0.006,-5.5,-0.4
49,CHI,Cameron Bairstow,University of New Mexico,2,36,167,44,36,7,0.296,0.2,0.846,4.6,1.2,1,0.2,-0.1,-0.021,-7.7,-0.2
50,PHO,Alec Brown,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,,,
51,NYK,Thanasis Antetokounmpo,,1,2,6,6,1,0,0.75,0,,3,3,0.5,0,0,0.291,-4.1,0
52,PHI,Vasilije Micic,,,,,,,,,,,,,,,,,,
53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
54,PHI,Nemanja Dangubic,,,,,,,,,,,,,,,,,,
55,MIA,Semaj Christon,Xavier University,1,64,973,183,87,130,0.345,0.19,0.548,15.2,2.9,1.4,2,0.1,0.006,-6.3,-1.1
56,DEN,Roy Devyn Marble,University of Iowa,2,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5,-0.3
57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
58,SAS,Jordan McRae,University of Tennessee,3,78,751,341,82,55,0.425,0.409,0.743,9.6,4.4,1.1,0.7,0.7,0.043,-5.5,-0.7
59,TOR,Xavier Thames,San Diego State University,,,,,,,,,,,,,,,,,
60,SAS,Cory Jefferson,Baylor University,2,58,581,205,161,16,0.444,0.125,0.583,10,3.5,2.8,0.3,0.9,0.071,-4.6,-0.4
