,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP
153,34,PHO,Tyler Ulis,University of Kentucky,3.0,133.0,2782.0,998.0,223.0,537.0,0.40299999999999997,0.28,0.8079999999999999,20.9,7.5,1.7,4.0,0.5,0.008,-4.7,-1.9
154,35,BOS,Rade Zagorac,,,,,,,,,,,16.822222222222223,5.572222222222223,3.677777777777778,1.327777777777778,,0.057055555555555554,-2.6333333333333333,4.238888888888889
155,36,MIL,Malcolm Brogdon,University of Virginia,3.0,180.0,5088.0,2305.0,639.0,659.0,0.483,0.40700000000000003,0.898,28.3,12.8,3.6,3.7,13.1,0.124,0.0,2.6
156,37,HOU,Chinanu Onuaku,University of Louisville,2.0,6.0,74.0,18.0,14.0,4.0,0.583,,1.0,12.3,3.0,2.3,0.7,0.1,0.043,-4.1,0.0
157,38,MIL,Patrick McCaw,"University of Nevada, Las Vegas",3.0,144.0,2239.0,551.0,213.0,172.0,0.415,0.28600000000000003,0.8,15.5,3.8,1.5,1.2,2.4,0.051,-2.6,-0.3
158,39,NOP,David Michineau,,,,,,,,,,,15.2125,5.36875,2.08125,1.3624999999999998,,0.0640625,-2.90625,1.075
159,40,NOP,Diamond Stone,University of Maryland,1.0,7.0,24.0,10.0,6.0,0.0,0.231,,1.0,3.4,1.4,0.9,0.0,-0.1,-0.21100000000000002,-24.1,-0.1
160,41,ORL,Stephen Zimmerman,"University of Nevada, Las Vegas",1.0,19.0,108.0,23.0,35.0,4.0,0.32299999999999995,,0.6,5.7,1.2,1.8,0.2,0.0,-0.005,-7.3,-0.1
161,42,UTA,Isaiah Whitehead,Seton Hall University,2.0,89.0,1823.0,643.0,210.0,212.0,0.41100000000000003,0.305,0.7879999999999999,20.5,7.2,2.4,2.4,-0.9,-0.025,-4.9,-1.4
162,43,HOU,Zhou Qi,,2.0,19.0,125.0,24.0,22.0,2.0,0.212,0.105,0.667,6.6,1.3,1.2,0.1,-0.2,-0.09300000000000001,-7.1,-0.2
